gpu_name,gpu_price,gpu_date
MSI GeForce RTX 3080 VENTUS 3X OC LHR 10GB GDDR6X ,959.95,2022-05-21
MSI GeForce RTX 3080 VENTUS 3X PLUS LHR 12GB OC GDDR6X ,1339.95,2022-05-21
MSI GeForce RTX 3090 Ti BLACK TRIO Gaming 24GB GDDR6X ,2249.95,2022-05-21
MSI GeForce RTX 3090 Ti Gaming X TRIO 24GB GDDR6X ,2299.96,2022-05-21
MSI GeForce RTX 3090 Ti SUPRIM X Gaming 24GB GDDR6X ,2379.95,2022-05-21
MSI GeForce RTX 3090 VENTUS 3X 24GB OC GDDR6X ,2079.94,2022-05-21
NVIDIA - GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Graphics Card ,995,2022-05-21
NVIDIA GeForce RTX 3060 Ti Founders Edition 8GB GDDR6 PCI Express 4.0 Graphics Card,979,2022-05-21
NVIDIA GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Graphics Card ,795,2022-05-21
NVIDIA GeForce RTX 3090 Founders Edition Graphics Card,2295,2022-05-21
Palit GeForce RTX 3060 DUAL 12GB GDDR6 ,499.95,2022-05-21
Palit GeForce RTX 3070 Ti GamingPro 8GB GDDR6X ,899.95,2022-05-21
PNY GeForce RTX 3060 XLR8 Gaming REVEL EPIC-X RGB Single Fan 12GB GDDR6 ,879.95,2022-05-21
PNY GeForce RTX 3090 24GB XLR8 Gaming REVEL EPIC,2478,2022-05-21
PNY GeForce RTX™ 3070 Ti 8GB XLR8 Gaming Revel Epic,907,2022-05-21
RTX 3090 Graphics Card,89,2022-05-21
RTX 3090 Graphics Card,89,2022-05-21
RTX 3090 Graphics Card,89,2022-05-21
RTX 3090 Graphics Card,89,2022-05-21
Zotac Gaming GeForce RTX 3060 AMP White Edition 12GB GDDR6 ,539.94,2022-05-21
ZOTAC Gaming GeForce RTX 3060 Ti AMP White Limited Edition LHR 8GB 256BIT GDDR6 ,625,2022-05-21
Zotac Gaming GeForce RTX 3060 Ti Twin Edge OC LHR 8GB GDDR6 ,649.95,2022-05-21
ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card,495,2022-05-21
Zotac Gaming Geforce RTX 3070 Ti Trinity 8GB GDDR6X ,774.94,2022-05-21
Zotac Gaming Geforce RTX 3070 Ti Trinity OC 8GB GDDR6X ,799.96,2022-05-21
ZOTAC Gaming GeForce RTX 3070 Twin Edge OC Low Hash Rate 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card,783,2022-05-21
Zotac Gaming Geforce RTX 3080 Ti Trinity AMP Holo 12GB GDDR6X ,1629.95,2022-05-21
Zotac Gaming Geforce RTX 3080 Ti Trinity OC 12GB GDDR6X ,1599.86,2022-05-21
Zotac Gaming GeForce RTX 3080 Trinity AMP Holo LHR 10GB GDDR6X ,1129.95,2022-05-21
Zotac GAMING GeForce RTX 3080 Trinity LHR 12GB GDDR6X ,1159.95,2022-05-21
Zotac Gaming GeForce RTX 3080 Trinity OC LHR 10GB GDDR6X ,984.95,2022-05-21
Zotac GAMING GeForce RTX 3080 Trinity OC LHR 12GB GDDR6X ,1149.86,2022-05-21
Zotac Gaming GeForce RTX 3090 ArcticStorm 24GB GDDR6X ,2499.94,2022-05-21
Zotac Gaming GeForce RTX 3090 Trinity 24GB GDDR6X ,2299.96,2022-05-21
Zotac Gaming GeForce RTX 3090 Trinity OC 24GB GDDR6X ,2129.94,2022-05-21
ZOTAC Gaming GeForce RTX™ 3060 Ti Twin Edge OC LHR 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card,588,2022-05-21
ZOTAC Gaming GeForce RTX™ 3070 Ti AMP Holo 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card,819,2022-05-21
ZOTAC Gaming GeForce RTX™ 3080 Trinity OC White Edition LHR 10GB GDDR6X 320-bit 19 Gbps PCIE 4.0 Gaming Graphics Card,999,2022-05-21
ZOTAC Gaming GeForce RTX™ 3090 Trinity OC 24GB GDDR6X 384-bit 19.5 Gbps PCIE 4.0 Gaming Graphics Card,1791,2022-05-21
Zotac GeForce RTX 3050 Twin Edge  8GB GDDR6 ,273.96,2022-05-21
Zotac GeForce RTX 3050 Twin Edge OC 8GB GDDR6 ,379.94,2022-05-21
Zotac GeForce RTX 3060 Ti Twin Edge LHR 8GB GDDR6 ,544.95,2022-05-21
Zotac GeForce RTX 3060 Twin Edge 12GB GDDR6 ,424.95,2022-05-21
Zotac GeForce RTX 3060 Twin Edge OC 12GB GDDR6 ,454.95,2022-05-21
Zotac GeForce RTX 3070 Ti AMP Extreme Holo 8GB GDDR6X ,969.95,2022-05-21
Zotac Geforce RTX 3070 Twin Edge LHR 8GB GDDR6 ,664.94,2022-05-21
Zotac GeForce RTX 3090 AMP Extreme Holo 24 GB GDDR6X ,2599.95,2022-05-21
Zotac Geforce RTX 3090 Ti AMP Extreme HOLO 24GB GDDR6X ,2299.94,2022-05-21
